Collision,Type,Distance,Time
1,vehicle,28.233572162482687,6
0,no collision,37.64245294873035,30
0,no collision,93.0430057676108,30
1,pole,23.605819113960024,6
0,no collision,20.960900551406667,30
0,no collision,59.51240366391062,30
0,no collision,0.059723188111092895,30
1,vehicle,2.143593437369418,2
1,vehicle,30.0821382082936,7
0,no collision,7.121514768530687,30
0,no collision,57.68938185041043,30
1,pole,43.7532054478188,8
1,vehicle,3.475490671105945,3
1,building_wall,66.4860296961524,14
0,no collision,0.3457941210253921,31
0,no collision,0.0390051585418405,30
1,vehicle,28.958994112486835,6
0,no collision,8.785389257885072,30
0,no collision,5.231871062387086,30
0,no collision,25.54989593876053,30
1,pole,36.505481898500875,7
0,no collision,19.922762709931703,30
1,pole,40.30414018619922,9
0,no collision,54.77550156824873,30
0,no collision,10.901331970520914,30
0,no collision,8.529482541795005,30
1,vehicle,0.7140428023412824,4
1,building_wall,101.97898413351504,14
1,vehicle,33.60780497821543,8
1,vehicle,83.4107744800749,17
1,building_wall,15.489901463814022,8
1,vehicle,16.93799623485029,5
0,no collision,15.866463447380738,30
1,unknown,31.650900271110004,8
0,no collision,44.72068697970826,30
1,pole,98.56414791574934,18
0,no collision,196.87479212855396,31
1,building_wall,33.544572863771464,8
1,vehicle,49.05577154590719,9
1,building_wall,61.1724823046261,20
1,building_wall,12.326865007540619,5
1,vehicle,1.3324275384657085,2
1,building_wall,51.22738276422024,10
1,building_wall,77.31110274360253,12
0,no collision,8.193313459514684,30
1,unknown,38.10749336061781,7
0,no collision,8.99650395741628,30
1,building_wall,13.520033832026456,5
0,no collision,16.144520527544046,30
1,vehicle,22.171695078286575,5
1,pole,24.470815338545435,6
1,vehicle,1.2561981426551938,3
0,no collision,0.03063566315904609,30
0,no collision,14.835790306484341,30
1,building_wall,13.713208087079693,5
0,no collision,0.0550854129542131,30
1,vehicle,1.164659122005105,2
0,no collision,28.23233204985445,30
0,no collision,51.2140204578036,30
0,no collision,10.50761673809393,30
0,no collision,13.720557137093238,30
1,building_wall,12.42326625023179,10
1,unknown,20.92883606138639,15
0,no collision,0.03419921716704266,30
0,no collision,39.59477581224746,30
1,building_wall,20.613975817635946,6
0,no collision,46.62948010027321,30
0,no collision,9.759913830518599,30
0,no collision,0.03418371083898819,30
0,no collision,38.42660995979054,30
0,no collision,8.876750759896822,30
1,building_wall,26.64738309897075,6
0,no collision,55.99201961518156,30
0,no collision,61.01667803507735,30
0,no collision,61.4470843053914,30
1,vehicle,22.820844777161255,6
1,pole,37.68590583902551,7
0,no collision,41.30576319455486,30
0,no collision,25.837004394872565,30
0,no collision,68.48695011108612,30
0,no collision,10.909833439669455,30
1,unknown,14.21013719380062,5
1,unknown,10.971377074660268,4
0,no collision,35.63510676961005,30
1,vehicle,5.174572191617699,3
1,vehicle,8.792934852408507,4
0,no collision,8.329584446499211,30
1,pole,108.08307257969864,21
1,vehicle,15.376912314079163,5
0,no collision,49.59322710798915,30
0,no collision,102.18986226787365,30
1,vehicle,10.936640208357858,4
1,building_wall,47.76965283698587,11
1,building_wall,30.61951016983403,7
0,no collision,0.04148263837464583,30
0,no collision,16.704632656681497,30
1,unknown,15.975226590504462,6
1,building_wall,33.83106650675836,9
1,vehicle,27.15532040700782,6
1,pole,74.7097721321079,12
