Collision,Type,Distance,Time
0,no collision,0.03885190084702117,20
0,no collision,0.5934927317284746,20
0,no collision,45.37607254577779,21
1,building_wall,14.964593595461338,8
0,no collision,41.23044791938082,21
0,no collision,12.769333194919454,21
0,no collision,61.88867117108384,21
0,no collision,0.045031273784843506,20
0,no collision,6.824294131816714,21
0,no collision,16.04716032817487,20
0,no collision,39.06197158739087,21
0,no collision,58.55835109870213,21
0,no collision,59.58528796715291,21
0,no collision,20.7685818299924,21
0,no collision,0.06920649713174498,22
1,unknown,21.259178501626593,14
0,no collision,10.769429498024692,20
1,vehicle,91.84070471101586,13
0,no collision,12.992498000254272,21
0,no collision,2.230779539779178,21
1,building_wall,184.55296756420285,18
1,pole,51.15940688661067,12
1,building_wall,17.2058231240826,18
0,no collision,0.05177206402004231,20
0,no collision,76.86324029094249,20
1,building_wall,9.070487163699,5
1,building_wall,83.48422684277648,20
0,no collision,13.056145810478483,21
1,vehicle,83.52917855978012,14
1,pole,37.08277117460966,9
0,no collision,205.3062458820641,21
1,vehicle,9.428316480159992,4
0,no collision,40.87040273104867,21
1,vehicle,1.086862113326788,3
0,no collision,23.76286993418762,20
1,building_wall,13.775699410793095,8
1,building_wall,36.230600707804115,14
1,building_wall,10.82640661939513,5
0,no collision,55.00882832323441,21
0,no collision,66.70790648050934,20
1,building_wall,185.801836038474,19
0,no collision,13.88574525709555,24
0,no collision,59.60908942804235,20
1,vehicle,34.79049830971053,10
0,no collision,0.030685555928357644,20
0,no collision,0.05674445680051576,22
0,no collision,34.194863193180936,20
0,no collision,54.21385756419204,22
1,building_wall,35.40515128796687,11
1,vehicle,16.19488537684083,6
0,no collision,98.76828542837757,20
1,vehicle,44.50712083588587,9
1,unknown,15.321451895870268,6
1,pole,26.74749282654375,7
0,no collision,0.8762644439557334,21
1,pole,12.009188872762024,7
0,no collision,28.4075464970374,20
1,building_wall,10.939431031423737,8
1,building_wall,25.175605428114068,8
0,no collision,45.800925886382174,21
0,no collision,69.03231694711758,21
0,no collision,84.30833904077008,20
0,no collision,16.336332286184188,20
1,building_wall,33.27801235430525,8
1,building_wall,18.772348877706463,10
0,no collision,35.634120808477746,21
0,no collision,30.68504582139576,21
0,no collision,11.01413282075373,21
0,no collision,6.8702864270235295,21
0,no collision,11.907413435736089,20
1,vehicle,73.9067912697792,11
0,no collision,44.45631864696293,20
1,pole,35.20496722865937,17
0,no collision,7.7051094699736495,21
0,no collision,57.272491792740766,21
1,building_wall,12.168890216955333,6
1,vehicle,18.34636917953685,10
0,no collision,14.909684894126258,20
0,no collision,10.292459043636882,20
1,pole,13.138584264612291,5
0,no collision,108.28196583599129,21
0,no collision,2.1801832836135873,21
0,no collision,68.54972873096267,22
1,unknown,18.896260121662635,7
0,no collision,0.5706811182353704,21
1,vehicle,21.101926122792065,6
0,no collision,0.04690670847776346,21
0,no collision,0.12928628223016858,21
0,no collision,12.710898523360811,21
1,building_wall,17.99928933911724,10
1,pole,34.67324675805867,8
1,vehicle,59.84972983796615,9
1,vehicle,15.372646755902679,7
1,vehicle,12.747131019888911,9
1,building_wall,63.985199635142635,14
1,vehicle,12.828008972108364,4
1,unknown,35.359328462640406,10
1,pole,179.4915803877957,19
0,no collision,52.23719579423778,20
1,building_wall,8.579787075519562,4
