Collision,Type,Distance,Time
1,vehicle,5.2914471575059,3
0,no collision,21.980596583729948,30
0,no collision,0.18362701922478664,30
0,no collision,0.0509515049525362,30
0,no collision,0.05617465413070022,30
0,no collision,45.41759875104185,30
0,no collision,0.08774786428602965,30
0,no collision,0.0437959445089291,30
1,vehicle,0.8143114949343726,2
0,no collision,37.073169894375496,30
0,no collision,43.979684785653035,30
0,no collision,63.76356211393977,30
1,vehicle,74.23642875505175,23
0,no collision,10.941603001765543,30
0,no collision,48.41357508658564,30
1,building_wall,108.12668150734225,13
0,no collision,39.54932107480636,30
1,unknown,24.090400373515877,7
0,no collision,28.817855876500175,30
0,no collision,19.086430277337968,30
0,no collision,39.856140452958925,30
1,pole,66.19576028361735,17
0,no collision,13.624007879760711,30
1,unknown,24.605580561947136,20
0,no collision,30.774004846743082,30
0,no collision,8.480840546609215,30
1,building_wall,146.09146173414774,17
0,no collision,132.55803978726544,30
0,no collision,1.7917491352658317,30
1,vehicle,16.073889940615118,5
0,no collision,71.74505543778105,30
0,no collision,37.165848567626085,30
0,no collision,139.11337555288083,30
0,no collision,79.11382035260203,30
0,no collision,10.75136661209558,30
0,no collision,0.3743153750142483,30
0,no collision,0.2406016330814964,30
0,no collision,15.350399836181168,30
0,no collision,43.83806572402955,30
0,no collision,0.05198295564196087,30
1,vehicle,12.147015963815647,15
0,no collision,76.49095939212566,30
0,no collision,11.184303756479949,30
1,vehicle,85.6172876930791,11
1,unknown,14.513044152408838,5
0,no collision,22.907198830474726,30
1,building_wall,139.95103913722414,15
1,unknown,18.180305044989836,7
0,no collision,0.07301157086067178,30
0,no collision,42.253678383529405,30
1,building_wall,48.13179044816843,11
1,vehicle,9.313591593818273,5
0,no collision,123.75677194522632,30
0,no collision,0.6247222873357714,30
0,no collision,0.0495553957946413,30
0,no collision,12.087566644596336,30
0,no collision,29.957136692912627,30
0,no collision,61.87341789954621,30
0,no collision,3.6075134409447855,30
0,no collision,0.13132474837584596,30
1,unknown,63.521582280054645,10
0,no collision,0.06437191023906053,30
0,no collision,10.480296107958566,30
1,vehicle,0.3472132747992873,2
1,unknown,34.41723004129017,9
1,vehicle,57.344841151090804,10
0,no collision,23.30456159580126,30
0,no collision,51.45798732381354,30
0,no collision,0.07248663752397988,30
1,pole,33.81871253791542,10
1,building_wall,219.9598432967232,20
0,no collision,25.180733095379082,30
0,no collision,54.782567800943525,30
1,building_wall,55.59895487027825,9
0,no collision,0.08541024986334378,30
0,no collision,28.91271689327459,30
0,no collision,37.41773890653394,30
0,no collision,5.290676757625988,30
0,no collision,0.0647161075121403,30
0,no collision,51.36792597041858,30
0,no collision,39.133060272058856,30
0,no collision,0.3221489144834777,30
0,no collision,11.817734430947894,30
0,no collision,12.969109710546718,30
1,vehicle,18.2777366487785,25
0,no collision,3.902375724395597,30
1,unknown,28.169836641609436,7
0,no collision,22.948460027072997,30
1,vehicle,147.35983617885722,15
0,no collision,1.3490043531019182,30
0,no collision,45.25234803295427,30
1,building_wall,17.080637561666208,5
1,vehicle,35.287143627621845,7
0,no collision,34.12411770775134,30
0,no collision,42.16627809030342,30
1,vehicle,94.79633770256078,12
1,vehicle,1.5679980793502182,8
1,vehicle,67.96626738086343,11
1,building_wall,51.43533199872218,8
0,no collision,67.50031153416512,30
